Timestamp,Input,Output
2024-12-01 13:13:42,"{'args': ([['LAYANAN KESEJAHTERAAN MAHASISWA', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.75), 'kwargs': {}}","[['LAYANAN KESEJAHTERAAN MAHASISWA', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:15:25,"{'args': ([['LAYANAN KESEJAHTERAAN MAHASISWA', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.75), 'kwargs': {}}","[['LAYANAN KESEJAHTERAAN MAHASISWA', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:19:19,"{'args': ([['waktu berapa tahun', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.75), 'kwargs': {}}","[['waktu berapa tahun', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:28:23,"{'args': ([['waktu berapa tahun', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.75), 'kwargs': {}}","[['waktu berapa tahun', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:33:01,"{'args': ([['title', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.7), 'kwargs': {}}","[['title', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:36:13,"{'args': ([['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.7), 'kwargs': {}}","[['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:45:24,"{'args': ([['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.7), 'kwargs': {}}","[['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:46:20,"{'args': ([['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.7), 'kwargs': {}}","[['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:48:43,"{'args': ([['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.7), 'kwargs': {}}","[['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:51:22,"{'args': ([['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]], 0.7), 'kwargs': {}}","[['durasi', tensor(1)], ['KOMPUTER SAINS', tensor(3)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:57:23,"{'args': ([['waktu berapa lama', tensor(1)], ['Jurusan', tensor(7)], ['AKUNTANSI', tensor(3)]], 0.7), 'kwargs': {}}","[['Jurusan', tensor(7)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 13:59:37,"{'args': ([['waktu berapa lama', tensor(1)], ['Jurusan', tensor(7)], ['AKUNTANSI', tensor(3)]], 0.7), 'kwargs': {}}","[['Jurusan', tensor(7)], ['AKUNTANSI', tensor(3)]]"
2024-12-01 14:00:45,"{'args': ([['Jurusan', tensor(7)], ['FILM', tensor(3)]], 0.7), 'kwargs': {}}","[['Jurusan', tensor(7)], ['FILM', tensor(3)]]"
