Timestamp,Input,Output
2024-12-01 12:52:50,"{'args': (<PreProcess.PreProcess object at 0x00000297A5DB82B0>, 'perlu waktu berapa tahun untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa tahun untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 12:54:03,"{'args': (<PreProcess.PreProcess object at 0x0000013CDF6B83A0>, 'perlu waktu berapa tahun untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa tahun untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:07:34,"{'args': (<PreProcess.PreProcess object at 0x000002058A89C370>, 'perlu waktu berapa tahun untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa tahun untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:08:35,"{'args': (<PreProcess.PreProcess object at 0x000002013AD80370>, 'perlu waktu berapa tahun untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa tahun untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:15:25,"{'args': (<PreProcess.PreProcess object at 0x000001D408BA0280>, 'perlu waktu berapa tahun untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa tahun untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:19:19,"{'args': (<PreProcess.PreProcess object at 0x000001EBCE47C3D0>, 'perlu waktu berapa tahun untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa tahun untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:28:22,"{'args': (<PreProcess.PreProcess object at 0x000002649E48C3D0>, 'perlu waktu berapa tahun untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa tahun untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:33:00,"{'args': (<PreProcess.PreProcess object at 0x00000243ECE283D0>, 'perlu waktu berapa tahun untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa tahun untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:36:12,"{'args': (<PreProcess.PreProcess object at 0x000001D7A3B683D0>, 'perlu waktu berapa lama untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa lama untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:45:24,"{'args': (<PreProcess.PreProcess object at 0x000001E99B2D03D0>, 'perlu waktu berapa lama untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa lama untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:46:19,"{'args': (<PreProcess.PreProcess object at 0x0000020C2BC3C370>, 'perlu waktu berapa lama untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa lama untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:48:42,"{'args': (<PreProcess.PreProcess object at 0x0000028DC400C370>, 'perlu waktu berapa lama untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa lama untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:51:22,"{'args': (<PreProcess.PreProcess object at 0x000002338F2E83D0>, 'perlu waktu berapa lama untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa lama untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:52:15,"{'args': (<PreProcess.PreProcess object at 0x000002338F2E83D0>, 'akreditasi jurusan film apa nih'), 'kwargs': {}}",akreditasi jurusan film apa nih
2024-12-01 13:57:23,"{'args': (<PreProcess.PreProcess object at 0x000002E4BCBC8370>, 'perlu waktu berapa lama untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa lama untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 13:59:36,"{'args': (<PreProcess.PreProcess object at 0x0000020BA89CC370>, 'perlu waktu berapa lama untuk lulus jurusan compsci lebih cepat mana dibanding akuntansi'), 'kwargs': {}}",perlu waktu berapa lama untuk lulus jurusan sains komputer lebih cepat mana dibanding akuntansi
2024-12-01 14:00:45,"{'args': (<PreProcess.PreProcess object at 0x0000020BA89CC370>, 'akreditasi jurusan film apa nih'), 'kwargs': {}}",akreditasi jurusan film apa nih
